"행정구역(시군구)별","항목","단위","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"청주시","총인구수[명]","명","544115","557405","569072","580861","592504","603941","615155","624288","630939","626679","633286","638663","643161","655971","661946","666852","672904","831521","831912","835197","835590","837749","839566","844993","848482","849573","852189","854537",
"청주시","남자인구수[명]","명","271225","277384","283272","289509","295075","300668","306178","311162","314762","312462","315661","318145","320304","326886","329761","332202","335273","417233","417341","419323","419676","421774","422864","425848","427881","429208","430449","431740",
"청주시","여자인구수[명]","명","272890","280021","285800","291352","297429","303273","308977","313126","316177","314217","317625","320518","322857","329085","332185","334650","337631","414288","414571","415874","415914","415975","416702","419145","420601","420365","421740","422797",
"상당구","총인구수[명]","명","232093","234924","233907","232768","235272","240972","249306","255214","258598","256339","250558","246344","243777","241589","241621","240433","246128","179792","176424","173701","171129","176818","178352","190034","193827","196425","200575","197952",
"상당구","남자인구수[명]","명","115334","116786","116375","115950","117157","119988","124096","127137","128879","127616","124688","122568","121346","120413","120350","119748","122502","89861","88055","86804","85402","88060","88765","94480","96267","97585","99657","98280",
"상당구","여자인구수[명]","명","116759","118138","117532","116818","118115","120984","125210","128077","129719","128723","125870","123776","122431","121176","121271","120685","123626","89931","88369","86897","85727","88758","89587","95554","97560","98840","100918","99672",
"서원구","총인구수[명]","명","","","","","","","","","","","","","","","","","","224727","220045","217120","216782","209404","203209","194720","192899","191273","186302","181621",
"서원구","남자인구수[명]","명","","","","","","","","","","","","","","","","","","111592","109330","107866","107632","104071","100853","96695","95958","95469","92775","90428",
"서원구","여자인구수[명]","명","","","","","","","","","","","","","","","","","","113135","110715","109254","109150","105333","102356","98025","96941","95804","93527","91193",
"흥덕구","총인구수[명]","명","312022","322481","335165","348093","357232","362969","365849","369074","372341","370340","382728","392319","399384","414382","420325","426419","426776","252027","253426","253563","253912","254302","262137","265866","267429","268051","274594","285838",
"흥덕구","남자인구수[명]","명","155891","160598","166897","173559","177918","180680","182082","184025","185883","184846","190973","195577","198958","206473","209411","212454","212771","126827","127406","127647","128106","128949","132999","134958","135780","136332","139804","145609",
"흥덕구","여자인구수[명]","명","156131","161883","168268","174534","179314","182289","183767","185049","186458","185494","191755","196742","200426","207909","210914","213965","214005","125200","126020","125916","125806","125353","129138","130908","131649","131719","134790","140229",
"청원구","총인구수[명]","명","","","","","","","","","","","","","","","","","","174975","182017","190813","193767","197225","195868","194373","194327","193824","190718","189126",
"청원구","남자인구수[명]","명","","","","","","","","","","","","","","","","","","88953","92550","97006","98536","100694","100247","99715","99876","99822","98213","97423",
"청원구","여자인구수[명]","명","","","","","","","","","","","","","","","","","","86022","89467","93807","95231","96531","95621","94658","94451","94002","92505","91703",
"충주시","총인구수[명]","명","217638","218846","218763","217305","215249","211980","209138","207534","205907","204610","205064","206372","206613","208481","208433","208447","208115","208527","207913","208350","208316","210504","210737","210186","209358","208277","207778","207241",
"충주시","남자인구수[명]","명","109723","110496","110492","109661","108675","106982","105536","104708","103934","103278","103481","104033","104091","104874","104916","104956","104785","104944","104696","104877","105000","106222","106569","106273","105932","105478","105420","105132",
"충주시","여자인구수[명]","명","107915","108350","108271","107644","106574","104998","103602","102826","101973","101332","101583","102339","102522","103607","103517","103491","103330","103583","103217","103473","103316","104282","104168","103913","103426","102799","102358","102109",
"제천시","총인구수[명]","명","147901","147942","148155","147950","144968","143231","140676","138872","138201","136398","136218","135738","135580","137264","137689","137521","137204","136805","136138","136517","136432","135386","134617","133018","131591","130988","130194","128569",
"제천시","남자인구수[명]","명","74598","74681","74719","74511","73131","72169","70986","70096","69715","68749","68554","68368","68356","69145","69287","69088","68929","68639","68145","68444","68428","67792","67459","66705","66170","65833","65456","64768",
"제천시","여자인구수[명]","명","73303","73261","73436","73439","71837","71062","69690","68776","68486","67649","67664","67370","67224","68119","68402","68433","68275","68166","67993","68073","68004","67594","67158","66313","65421","65155","64738","63801",
"청원군","총인구수[명]","명","121794","123385","122922","123984","124181","122782","121235","119745","119784","136538","143021","148063","149783","152944","158369","154780","155002","","","","","","","","","","","",
"청원군","남자인구수[명]","명","61944","62796","62643","63168","63242","62425","61636","60992","61234","69843","73303","75942","77006","78675","81481","79793","79998","","","","","","","","","","","",
"청원군","여자인구수[명]","명","59850","60589","60279","60816","60939","60357","59599","58753","58550","66695","69718","72121","72777","74269","76888","74987","75004","","","","","","","","","","","",
"보은군","총인구수[명]","명","45980","45554","44562","43245","42082","40420","38973","38062","37114","36293","35354","35069","34845","34956","34717","34438","34318","34240","34296","34221","34053","33680","32949","32412","31878","31455","31010","30527",
"보은군","남자인구수[명]","명","23131","22930","22461","21790","21222","20361","19628","19111","18630","18193","17744","17584","17413","17473","17344","17168","17098","17092","17140","17093","17009","16834","16531","16292","16074","15877","15671","15503",
